name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Moustached warbler	https://martinfrancois.github.io/bird-images/2560px-moustached-warbler.jpg	The moustached warbler (Acrocephalus melanopogon ) is an Old World warbler in the genus Acrocephalus. It breeds in southern Europe and southern temperate Asia with a few in north-west Africa. It is partially migratory. South west European birds are resident, south east European birds winter in the Mediterranean breeding range, and the Asiatic race migrates to Arabia, India and Pakistan.	Unknown	0	0	-	-	-	-	-	Migrating	-	Stable	Least concern (LC)	-
Mute Swan	https://martinfrancois.github.io/bird-images/oCJAZuVVeTdtYtqGNjJ3.jpg	The Mute swan (Cygnus olor) is known as an integral feature of urban parks as well as most of the waterways in our regions. But originally this beautiful white bird was a wild animal, not always with compatible behavior and habits for life in city parks. It is also amongst the heaviest of the world's flying birds.	500,000	40	80	6.5-13 kg	140-160 cm	2.5 m	Asia, Europe, North America	Herbivore,  Granivore,  Folivore,  Graminivore	Partial Migrant	1 year	Increasing	Least concern (LC)	36-38 days
Nightingale	https://martinfrancois.github.io/bird-images/common-nightingale.jpg	The nightingale (Luscinia megarhynchos ) is a small passerine bird best known for its powerful and beautiful song. The song of this secretive bird has been described as one of the most beautiful sounds in nature, inspiring songs, fairy tales, opera, books, and a great deal of poetry.	43-81 thou	8	29	18-23 g	15-16.5 cm	20-24 cm	Europe, Asia, Africa	Carnivore,  Insectivores,  Herbivore,  Frugivore,  Granivore,  Vermivorous	Migrating	25-42 days	Stable	Least concern (LC)	13-14 days
Northern Goshawk	https://martinfrancois.github.io/bird-images/AWxFNR31k1RpsCL9msLr.jpg	N/A	1-2.5 mln	29	98	500-2,200 g	46-69 cm	89-127 cm	North America, Europe, Asia, Africa	Carnivore	Partial Migrant	65-90 days	-	Least concern (LC)	28-37 days
Northern Hawk-Owl	https://martinfrancois.github.io/bird-images/1200px-vtkakkjpg.jpg	The northern hawk-owl or northern hawk owl (Surnia ulula ) is a medium-sized true owl of the northern latitudes. It is non-migratory and usually stays within its breeding range, though it sometimes irrupts southward. It is one of the few owls that is neither nocturnal nor crepuscular, being active only during the day. This is the only living species in the genus Surnia of the family Strigidae, the ""typical"" owls (as opposed to barn owls, Tytonidae). The species is sometimes called simply the hawk owl; however, many species of owls in the genus Ninox are also called ""hawk owls"".	100-500 thou	10	0	300-340 g	36-45 cm	45 cm	North America, Europe, Asia	Carnivore	Not a migrant	75 days	Stable	Least concern (LC)	25-30 days
Northern Lapwing	https://martinfrancois.github.io/bird-images/2560px-northern-lapwing-vanellus-vanellus.jpg	The _orthern lapwing (Vanellus vanellus) is a wading bird common through temperate Eurasia. The name lapwing has been variously attributed to the ""lapping"" sound the wings of these birds make in flight; from the irregular progress in flight due to their large wings or from their habit of drawing potential predators away from their nest by trailing a wing as if broken.	5.6-105 mln	10	0	128-330 g	28-33 cm	67-87 m	Europe, Asia, Africa	Carnivore,  Insectivores,  Vermivorous	Migrating	-	Decreasing	Near Threatened (NT)	21-28 days
Northern Pintail	https://martinfrancois.github.io/bird-images/northern-pintail-at-seedskadee-national-wildlife-refuge-6.jpg	The Northern pintail (Anas acuta ) is a duck species with a wide geographic distribution. Unusually for a bird with such a large range, it has no geographical subspecies if the possibly conspecific duck Eaton's pintail is considered to be a separate species.	7.1-7.2 mln	22	77	450-1,360 g	51-76 cm	80-95 cm	North America, South America, Europe, Asia, Africa	Omnivore	Migrating	-	Decreasing	Least concern (LC)	22-24 days
Northern Shoveler	https://martinfrancois.github.io/bird-images/northern-shoveler-on-seedskadee-national-wildlife-refuge-7.jpg	The northern shoveler (; Spatula clypeata ), known simply in Britain as the shoveler, is a common and widespread duck. It breeds in northern areas of Europe and across the Palearctic and across most of North America, wintering in southern Europe, the Indian subcontinent, Southeast Asia, Central, the Caribbean, and northern South America. It is a rare vagrant to Australia. In North America, it breeds along the southern edge of Hudson Bay and west of this body of water, and as far south as the Great Lakes west to Colorado, Nevada, and Oregon.	6.5-7 mln	20	0	600 g	48 cm	76 cm	Europe, Asia, Africa, North America, South America	Carnivore	Migrating	40-45 days	Decreasing	Least concern (LC)	25 days
Northern wheatear	https://martinfrancois.github.io/bird-images/2560px-20130919-060-baarlo-kessel-weerdbeemden-tapuit-28981836408629.jpg	The northern wheatear or wheatear (Oenanthe oenanthe ) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher, Muscicapidae. It is the most widespread member of the wheatear genus Oenanthe in Europe and North and Central Asia.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Ortolan Bunting	https://martinfrancois.github.io/bird-images/ortolan-bunting-emberiza-hortulana-2.jpg	The Ortolan bunting (Emberiza hortulana) is a small seed-eating songbird found in Europe and Western Asia. The bird is widely used in French cuisine and due to this, its French populations dropped dangerously low, leading to laws restricting its use in 1999.	8-17.9 mln	5.8	0	23-29 cm	16-17 cm	-	Europe, Asia, Africa	Herbivore,  Granivore,  Carnivore,  Insectivores	Migrating	-	Decreasing	Least concern (LC)	11-12 eggs
Osprey	https://martinfrancois.github.io/bird-images/uPEelPq6WEcw93LNyrM8.jpg	The osprey (Pandion haliaetus) is a diurnal, fish-eating bird of prey with a cosmopolitan range. The osprey tolerates a wide variety of habitats, nesting in any location near a body of water providing an adequate food supply. It is found on all continents except Antarctica, although in South America it occurs only as a non-breeding migrant.	100-500 thou	25	128	0.9-2 kg	50-66 cm	127-180 cm	Europe, Asia, Africa, North America, South America, Oceania	Carnivore,  Piscivores	Migrating	4-5.5 mos	Increasing	Least concern (LC)	35-43 days
Pallid swift	https://martinfrancois.github.io/bird-images/apus-pallidus-nest.jpg	The pallid swift (Apus pallidus ) is a small bird, superficially similar to a barn swallow or house martin. It is, however, completely unrelated to those passerine species, since the swifts are in the order Apodiformes. The resemblances between the groups are due to convergent evolution reflecting similar life styles.	Unknown	0	0	-	-	-	Europe, Africa, Asia	-	Migrating	-	Stable	Least concern (LC)	-
Parasitic jaeger	https://martinfrancois.github.io/bird-images/stercorarius-parasiticus-flying2c-handa.jpg	The parasitic jaeger (Stercorarius parasiticus ), also known as the Arctic skua, Arctic jaeger or parasitic skua, is a seabird in the skua family Stercorariidae. The word ""jaeger"" is derived from the German word J�ger, meaning ""hunter"". The English ""skua"" comes from the Faroese name sk�gvur for the great skua, with the island of Sk�voy known for its colony of that bird. The general Faroese term for skuas is kj�gvi. The genus name Stercorarius is Latin and means ""of dung""; the food disgorged by other birds when pursued by skuas was once thought to be excrement. The specific parasiticus is from Latin and means ""parasitic"".	Unknown	32	0	450 g	44 cm	118 cm	North America, Antarctica, Europe, Asia, South America, Africa	Carnivore,  Piscivores	Migrating	-	Stable	Least concern (LC)	-
Peregrine Falcon	https://martinfrancois.github.io/bird-images/peregrine-falcon-2.jpg	The Peregrine falcon (Falco peregrinus) is a large cosmopolitan raptor in the family Falconidae. It is renowned for its speed during its characteristic hunting stoop (high-speed dive), making it the fastest bird in the world, as well as the fastest member of the animal kingdom. According to a National Geographic TV program, the highest measured speed of a Peregrine falcon is 389 km/h (242 mph). This is a well-respected falconry bird due to its strong hunting ability, high trainability, versatility, and availability via captive breeding. It is effective on most game bird species, from small to large. It has also been used as a religious, royal, or national symbol across multiple eras and areas of human civilization.	100-500 thou	25	389	330-1,500 g	34-58 cm	74-120 cm	North America, Europe, Asia, Africa, South America, Oceania	Carnivore	Partial Migrant	2 months	Increasing	Least concern (LC)	29-33 days
Pied avocet	https://martinfrancois.github.io/bird-images/2560px-alfaiate-28recurvirostra-avosetta29-285140225311329.jpg	The pied avocet (Recurvirostra avosetta ) is a large black and white wader in the avocet and stilt family, Recurvirostridae. They breed in temperate Europe and across the Palearctic to Central Asia then on to the Russian Far East. It is a migratory species and most winter in Africa or southern Asia. Some remain to winter in the mildest parts of their range, for example in southern Spain and southern England. The pied avocet is one of the species to which the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA) applies.	Unknown	0	0	-	-	-	-	-	Migrating	-	Unknown	Least concern (LC)	-
Pied stilt	https://martinfrancois.github.io/bird-images/2560px-pied-stilts-nz-282072479041629.jpg	The pied stilt (Himantopus leucocephalus ), also known as the white-headed stilt, is a shorebird in the family Recurvirostridae. It is widely distributed with a large total population size and apparently stable population trend, occurring in Malaysia, Japan, the Philippines, Brunei, Christmas Island, Indonesia, Palau, Papua New Guinea, Australia, and New Zealand. It is listed as Least Concern on the IUCN Red List.It is sometimes considered a subspecies of the black-winged stilt (H. himantopus ).	Unknown	0	0	-	-	-	Europe, North America, Asia, South America, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Pink-Footed Goose	https://martinfrancois.github.io/bird-images/spetsbergsgs-pink-footed-goose.jpg	The pink-footed goose (Anser brachyrhynchus ) is a goose which breeds in eastern Greenland, Iceland and Svalbard. It is migratory, wintering in northwest Europe, especially Ireland, Great Britain, the Netherlands, and western Denmark. The name is often abbreviated in colloquial usage to ""pinkfoot"" (plural ""pinkfeet""). Anser is the Latin for ""goose"", and brachyrhynchus comes from the ancient Greek brachus ""short"" and rhunchos ""bill"".	410,000	20	60	1.8-3.4 kg	60-75 cm	135-170 cm	North America, Europe	Herbivore,  Folivore,  Graminivore,  Granivore	Migrating	56 days	Increasing	Least concern (LC)	26-27 days
Pomarine jaeger	https://martinfrancois.github.io/bird-images/stercorarius-pomarinus-snow.jpg	The pomarine jaeger (Stercorarius pomarinus ), also spelled Pomarine yeager in some translations, pomarine skua, or pomatorhine skua, is a seabird in the skua family Stercorariidae. It is a migrant, wintering at sea in the tropical oceans.	Unknown	0	0	-	-	-	Europe, North America, Asia, South America, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Purple heron	https://martinfrancois.github.io/bird-images/2560px-purpurreiher-28ardea-purpurea29-im-flug-nsg-wagbachniederung-2.jpg	The purple heron (Ardea purpurea ) is a wide-ranging species of wading bird in the heron family, Ardeidae. The scientific name comes from Latin ardea ""heron"", and purpureus, ""coloured purple"". It breeds in Africa, central and southern Europe, and southern and eastern Asia. The Western Palearctic populations migrate between breeding and wintering habitats whereas the African and tropical-Asian populations are primarily sedentary, except for occasional dispersive movements.	Unknown	0	0	499-1361 g	78-90 cm	120-150 cm	Europe, Asia, Africa	Carnivore,  Insectivores,  Molluscivore,  Piscivores	Partial Migrant	-	Decreasing	Least concern (LC)	-
Red Crossbill	https://martinfrancois.github.io/bird-images/qMpFPc5377gGBhdFkpqh.jpg	The red crossbill or common crossbill (Loxia curvirostra ) is a small passerine bird in the finch family Fringillidae. Crossbills have distinctive mandibles, crossed at the tips, which enable them to extract seeds from conifer cones and other fruits.	90-180 Mln	8	0	31-42 g	14-16 cm	25-27 cm	Europe, Africa, Asia, North America	Herbivore,  Granivore	Not a migrant	48-52 days	Stable	Least concern (LC)	12-16 days
